"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","pass_flag"
"43681","577573","1591554","Restaurant","Risk 1 (High)",2011-09-28,"Canvass","Pass w/ Conditions",1,0,5,0,0,0,1,0.498630136986301,0,0
"6003","680192","1591554","Restaurant","Risk 1 (High)",2012-04-19,"Canvass","Pass",0,0,0,0,1,0,5,0.558904109589041,0,1
"38338","1114789","1591554","Restaurant","Risk 1 (High)",2013-04-24,"Canvass","Pass",0,0,1,0,0,0,0,1.01369863013699,0,1
"35625","1150745","1591558","Grocery Store","Risk 2 (Medium)",2012-09-18,"Canvass","Pass",0,0,6,0,0,0,2,2,0,1
"37825","1301128","1591573","Restaurant","Risk 1 (High)",2013-01-04,"Canvass","Fail",0,1,4,0,0,0,0,0.0246575342465753,0,0
"56515","577681","1591726","Grocery Store","Risk 1 (High)",2011-11-16,"Canvass","Pass w/ Conditions",1,0,5,0,0,0,2,1.07123287671233,0,0
"21503","1227296","1591726","Grocery Store","Risk 1 (High)",2012-05-18,"Canvass","Pass",0,0,3,0,1,0,5,0.501369863013699,0,1
"27069","1360309","1591726","Grocery Store","Risk 1 (High)",2013-08-16,"Canvass","Pass",0,0,2,0,0,0,3,1.24657534246575,0,1
"63085","1234586","1591761","Restaurant","Risk 2 (Medium)",2012-08-13,"Canvass","Fail",1,2,4,0,0,0,4,1.27945205479452,0,0
"90709","1234516","1592038","Other","Risk 3 (Low)",2012-08-08,"Canvass","Pass",0,0,4,0,0,0,0,2,1,1
"54909","1138425","1592120","Grocery Store","Risk 2 (Medium)",2012-07-30,"Canvass","Pass w/ Conditions",0,1,1,0,0,0,2,0.947945205479452,0,0
"26696","569756","1592157","Restaurant","Risk 1 (High)",2011-12-12,"Canvass","Fail",0,1,3,0,0,0,4,0.824657534246575,0,0
"39789","1138663","1592157","Restaurant","Risk 1 (High)",2012-11-30,"Canvass","Pass",0,0,1,0,0,1,3,0.950684931506849,0,1
"42461","1139093","1592158","Restaurant","Risk 2 (Medium)",2013-08-22,"Canvass","Pass",0,0,2,0,0,0,3,2,0,1
"5326","614514","1592159","Restaurant","Risk 1 (High)",2011-10-04,"Canvass","Pass",0,0,3,0,0,0,3,1.2027397260274,0,1
"19738","1114313","1592159","Restaurant","Risk 1 (High)",2012-06-06,"Canvass","Pass",0,0,2,0,0,0,3,0.673972602739726,0,1
"7077","1292279","1592159","Restaurant","Risk 1 (High)",2013-01-18,"Canvass","Pass",0,0,2,0,0,0,2,0.619178082191781,0,1
"47570","1114251","1592160","Restaurant","Risk 1 (High)",2012-05-04,"Canvass","Pass",0,0,3,0,0,1,1,1.29041095890411,0,1
"47223","555228","1592177","Restaurant","Risk 1 (High)",2011-09-23,"Canvass","Pass",0,0,3,0,0,0,3,0.597260273972603,0,1
"54131","1150449","1592177","Restaurant","Risk 1 (High)",2012-06-11,"Canvass","Pass",0,0,4,0,0,0,3,0.668493150684932,0,1
"10332","1151147","1592177","Restaurant","Risk 1 (High)",2013-02-22,"Canvass","Pass",0,0,4,0,0,0,4,0.701369863013699,0,1
"60866","1300296","1592201","Restaurant","Risk 1 (High)",2012-11-02,"Canvass","Fail",0,2,6,0,0,0,7,1.84383561643836,0,0
"73571","529341","1592351","Restaurant","Risk 1 (High)",2011-10-14,"Canvass","Fail",0,1,2,0,0,0,4,0.523287671232877,0,0
"64336","1234969","1592351","Restaurant","Risk 1 (High)",2012-08-30,"Canvass","Fail",2,1,5,0,0,1,2,0.849315068493151,0,0
"89063","1072453","1592351","Restaurant","Risk 1 (High)",2013-06-05,"Canvass","Pass",0,0,3,0,0,1,5,0.742465753424657,0,1
"24786","1285710","1592371","Restaurant","Risk 1 (High)",2012-10-04,"Canvass","Fail",2,1,6,0,0,0,6,1.60547945205479,0,0
"5909","1300676","1592391","Restaurant","Risk 1 (High)",2012-11-29,"Canvass","Pass",0,0,6,0,0,0,7,1.70684931506849,0,1
"22130","1329336","1592391","Restaurant","Risk 1 (High)",2013-06-10,"Canvass","Pass",0,0,6,0,0,0,0,0.010958904109589,0,1
"45431","1134496","1592501","Restaurant","Risk 1 (High)",2012-08-17,"Canvass","Pass",0,0,4,0,0,0,4,1.1041095890411,0,1
"9418","1345240","1592501","Restaurant","Risk 1 (High)",2013-05-03,"Canvass","Pass",0,0,4,0,0,0,4,0.70958904109589,0,1
"9085","1286001","1592502","Restaurant","Risk 1 (High)",2012-10-19,"Canvass","Pass",0,0,3,0,0,0,5,1.54520547945205,0,1
"69588","659224","1592532","Restaurant","Risk 2 (Medium)",2011-11-04,"Canvass","Fail",0,2,10,0,0,0,0,2,1,0
"13905","1150557","1592545","Other","Risk 1 (High)",2012-07-24,"Canvass","Pass",0,0,1,0,0,0,0,1.26027397260274,0,1
"93424","1188402","1592606","Restaurant","Risk 2 (Medium)",2012-11-20,"Canvass","Pass w/ Conditions",0,1,5,0,0,0,5,1.76164383561644,0,0
"57157","1099157","1592606","Restaurant","Risk 2 (Medium)",2013-08-26,"Canvass","Pass",0,0,7,0,0,1,5,0.761643835616438,0,1
"85029","1285799","1592651","Other","Risk 1 (High)",2012-10-11,"Canvass","Pass",0,0,3,0,0,0,5,1.5013698630137,0,1
"29246","1277615","1592986","Grocery Store","Risk 1 (High)",2012-12-28,"Canvass","Pass",0,0,6,0,0,0,5,1.98356164383562,0,1
"67506","1336182","1592986","Grocery Store","Risk 1 (High)",2013-06-19,"Canvass","Pass",0,0,4,0,0,0,6,0.471232876712329,0,1
"71206","1214832","1592999","Restaurant","Risk 1 (High)",2012-05-11,"Canvass","Pass",0,0,4,0,0,0,6,0.931506849315068,0,1
"28895","1292314","1593077","Restaurant","Risk 1 (High)",2013-02-05,"Canvass","Pass",0,0,2,0,0,0,1,1.64383561643836,0,1
"75252","1345465","1593096","Restaurant","Risk 2 (Medium)",2013-08-16,"Canvass","Pass",0,0,3,0,0,0,0,1.24931506849315,0,1
"70594","598416","1593107","Restaurant","Risk 1 (High)",2011-10-18,"Canvass","Pass",0,0,5,0,0,0,0,2,1,1
"36877","664279","1593122","Restaurant","Risk 1 (High)",2011-12-16,"Canvass","Fail",1,1,7,0,0,1,6,1.23835616438356,0,0
"59664","1326815","1593122","Restaurant","Risk 1 (High)",2013-04-08,"Canvass","Fail",2,2,7,0,0,1,7,1.29041095890411,0,0
"45743","1102214","1593134","Restaurant","Risk 1 (High)",2012-04-02,"Canvass","Pass",0,0,3,0,0,0,5,0.56986301369863,0,1
"18976","1354085","1593134","Restaurant","Risk 1 (High)",2013-08-06,"Canvass","Pass",0,0,2,0,0,0,5,0.621917808219178,0,1
"51147","598439","1593162","Grocery Store","Risk 3 (Low)",2011-11-01,"Canvass","Fail",0,1,6,0,0,0,0,2,1,0
