"RowLabels","dba","address","licensenumber","licensetype","inspectorassigned","inspectiondate","inspectionpurpose"
"1229","ANGIE'S","8352 S PULASKI RD CHICAGO, IL 60652","1619627","Food","Kimberly Franklin",2014-09-18,"Complaint"
"1230","VIAGGIO AT THE PARK","401-403  W FULLERTON PKWY CHICAGO, IL 60614","2133656","Food","Rosarita Buco",2014-09-18,"Canvass"
"1231","CLUB - 100","1728 W LAWRENCE AVE CHICAGO, IL 60640 ","2202157","Food","Frances Demma",2014-09-18,"Canvass Re-Inspection"
"1232","SUBWAY","454 E 35TH ST CHICAGO, IL 60616 ","1873851","Food","Molly Lynch",2014-09-18,"Canvass"
"1233","La Michoacana Natural","6149 W GRAND AVE CHICAGO, IL 60639","2270685","Food","Blesilda Guillen",2014-09-18,"Canvass"
"1234","THE ORIGINA GINO'S EAST CHICAGO","500 N LA SALLE DR CHICAGO, IL 60610","2245990","Food","Nola Martin",2014-09-18,"Canvass"
"1235","Gategourmet","11601 W TOUHY AVE CHICAGO, IL 60666","56366","Food","Jay Khamphounvong",2014-09-18,"Canvass Re-Inspection"
"1236","CITGO GAS","4064-4070 N CLARK ST CHICAGO, IL 60613","2093475","Food","Kyle Kirkegaard",2014-09-18,"Canvass Re-Inspection"
"1237","MOMOTARO","820 W LAKE ST CHICAGO, IL 60607","2319777","Food","Annette Grimes",2014-09-18,"License"
"1238","MOMOTARO","820 W LAKE ST CHICAGO, IL 60607","2319778","Food","Annette Grimes",2014-09-18,"License"
"1239","BARNEY'S PIZZA","5648 W CHICAGO AVE CHICAGO, IL 60651","1742764","Food","Jewel Walker",2014-09-18,"Complaint Re-Inspection"
"1240","JOY YEE NOODLE","1335 S HALSTED ST CHICAGO, IL 60607","1650274","Food","Luella Owens",2014-09-18,"Canvass Re-Inspection"
"1241","Gategourmet","11601 W TOUHY AVE CHICAGO, IL 60666","56367","Food","Jay Khamphounvong",2014-09-18,"Canvass Re-Inspection"
"1242","RUBY'S RESTAURANT","3175 W MADISON ST CHICAGO, IL 60612 ","2069144","Food","Michelle Jackson",2014-09-18,"Complaint"
"1243","POLLO CAMPERO","4830 N PULASKI RD CHICAGO, IL 60630","1822716","Food","Nilda Soto",2014-09-18,"Canvass Re-Inspection"
"1244","PRIMO CHUKI'S TAQUERIA & RESTAURANT","1724-1726 W LAWRENCE AVE CHICAGO, IL 60640 ","2270070","Food","Frances Demma",2014-09-18,"Canvass"
"1245","TASTY PLACE","2306 S WENTWORTH AVE CHICAGO, IL 60616","1844415","Food","Elvia Martinez-Ceballos",2014-09-18,"Canvass"
"1246","KRISPY KRUNCHY CHICKEN","1840 W PETERSON AVE CHICAGO, IL 60660","2141683","Food","Jesus Su",2014-09-18,"Complaint"
"1247","TAJ MAHAL","1512 W TAYLOR ST CHICAGO, IL 60607","2240843","Food","Ronald Leveston",2014-09-18,"Canvass Re-Inspection"
"1248","SERGIO'S TAQUERIA PIZZA INC.","3253 W BRYN MAWR AVE CHICAGO, IL 60659","1447363","Food","Nilda Soto",2014-09-18,"Canvass"
"1249","PINK MONKEY / NEW YORK STRIP","750 S CLINTON ST CHICAGO, IL 60607","52862","Food","Luella Owens",2014-09-18,"Canvass"
"1250","Gate Gourmet","11601 W TOUHY AVE CHICAGO, IL 60666","1592038","Food","Jay Khamphounvong",2014-09-18,"Canvass"
"1251","LEONA'S PIZZERIA","1419 W TAYLOR ST CHICAGO, IL 60607","2313604","Food","Annette Grimes",2014-09-18,"License"
"1252","LEONA'S PIZZERIA","1419 W TAYLOR ST CHICAGO, IL 60607","2313605","Food","Annette Grimes",2014-09-18,"License"
"1253","SHERIDAN CHASE FOOD MART INC.","7301 N SHERIDAN RD CHICAGO, IL 60626","1879254","Food","Jesus Su",2014-09-18,"Canvass"
"1254","ARCADIA FOOD WINE & SPIRITS","3201 W BRYN MAWR AVE CHICAGO, IL 60659","1797","Food","Nilda Soto",2014-09-18,"Canvass"
"1255","CARMICHAEL'S CHICAGO STEAK HSE","1052 W MONROE ST CHICAGO, IL 60607","59485","Food","Luella Owens",2014-09-18,"Canvass"
"1256","TAQUERIA  UPTOWN","1708 W LAWRENCE AVE CHICAGO, IL 60640","1474638","Food","Frances Demma",2014-09-18,"Canvass"
"1257","SZECHUAN CUISINE","2414 S WENTWORTH AVE CHICAGO, IL 60616","2222174","Food","Elvia Martinez-Ceballos",2014-09-18,"Canvass"
"1258","FRESCA PANINI & COFFEE, INC.","4945 N MILWAUKEE AVE CHICAGO, IL 60630","2245573","Food","Jay Khamphounvong",2014-09-18,"Canvass"
"1259","GIO'S TACOS","8701 S EXCHANGE AVE CHICAGO, IL 60617 ","2279041","Food","Sharon Lewis",2014-09-18,"Canvass"
"1260","ALEGRA","5406-5408 W FULLERTON AVE CHICAGO, IL 60639","2263335","Food","Jewel Walker",2014-09-18,"Canvass"
"1261","YUMMY'S GRILL","5609 W BLOOMINGDALE AVE CHICAGO, IL 60639","1696435","Food","Jewel Walker",2014-09-18,"Canvass"
"1262","DUNKIN DONUTS","1519 W MADISON CHICAGO, IL 60607 ","2137370","Food","Anita Brazil",2014-09-19,"Canvass Re-Inspection"
"1263","GRANDSLAM-MARATHON","3139-3151 N WESTERN AVE CHICAGO, IL 60618","2041783","Food","Audrey Rambus",2014-09-19,"Canvass"
"1264","RACHEL'S LEARNING CENTER, LTD.","5242 W NORTH AVE CHICAGO, IL 60639","1575585","Food","Jewel Walker",2014-09-19,"Canvass"
"1265","RACHEL'S LEARNING CENTER, LTD.","5242 W NORTH AVE CHICAGO, IL 60639","1579151","Food","Jewel Walker",2014-09-19,"Canvass"
"1266","ACT KIPP CREATE","4818 W OHIO CHICAGO, IL 60644","CPS3096670","Food","Jewel Walker",2014-09-19,"Canvass Re-Inspection"
"1267","HORIZON SCIENCE ACADEMY SOUTHWEST CHICAGO","5401 S WESTERN AVE CHICAGO, IL 60609 ","CPS3305928","Food","Judith Mann-Hamdan",2014-09-19,"Canvass"
"1268","Dunne","10845 S UNION ST (700W) CHICAGO, IL 60628","CPS25491","Food","Sharon Lewis",2014-09-19,"Canvass"
"1269","Children of Peace Holy Trinity","1900 W TAYLOR ST CHICAGO, IL 60612 ","PS2098691","Food","Michelle Jackson",2014-09-19,"Canvass Re-Inspection"
"1270","ST. PIUS V SCHOOL","1919 S ASHLAND AVE CHICAGO, IL 60608","PS2225598","Food","Alejandro Delgado",2014-09-19,"Canvass Re-Inspection"
"1271","Gray","3730 N LARAMIE (5200W) CHICAGO, IL 60641","CPS23401","Food","Blesilda Guillen",2014-09-19,"Canvass Re-Inspection"
"1272","SOUTH DEERING FOOD MART","10600 S TORRENCE AVE CHICAGO, IL 60617","2054273","Food","Cecile Coffman",2014-09-19,"Canvass"
"1273","TOM YUM RICE & NOODLE, INC.","608 W BARRY CHICAGO, IL 60657 ","2354911","Food","Kyle Kirkegaard",2014-09-19,"License"
"1274","APPLE FARM FOODS","305 E 115TH ST CHICAGO, IL 60628","2032194","Food","Kimberly Franklin",2014-09-19,"Complaint Re-Inspection"
"1275","BOMBONERA CAFE","3103 W LOGAN BLVD CHICAGO, IL 60647","1333996","Food","Joseph Jantke",2014-09-19,"Canvass"
"1276","KEN TONE'S DRIVE-IN","551 W 18TH ST CHICAGO, IL 60616","57133","Food","Molly Lynch",2014-09-19,"Canvass"
"1277","LA  BOULANGERIE","2569 N MILWAUKEE AVE CHICAGO, IL 60647","2054235-1006","Food","Joseph Jantke",2014-09-19,"Canvass"
"1278","SOUTH DEERING FOOD","10600 S TORRENCE AVE CHICAGO, IL 60617","2354858","Food","Cecile Coffman",2014-09-19,"License"
"1279","LAKEFRONT CHILDREN'S ACADEMY","400 E RANDOLPH ST CHICAGO, IL 60601","2215657","Food","Marwan Tamimi",2014-09-19,"Canvass"
"1280","NEW WAVE COFFEE, LLC","3103 W LOGAN BLVD CHICAGO, IL 60647","1947771","Food","Joseph Jantke",2014-09-19,"Canvass"
"1281","GATEWAY TO LEARNING","4925 N LINCOLN AVE CHICAGO, IL 60625 ","PS2349645","Food","Sonya Enoch",2014-09-19,"Canvass"
"1282","GATEWAY TO LEARNING SPECIAL ED","4925 N LINCOLN AVE CHICAGO, IL 60625 ","2146528","Food","Sonya Enoch",2014-09-19,"Canvass"
"1283","Food 4 Less Midwest","7030 S ASHLAND AVE CHICAGO, IL 60636","1596210","Food","Joyce Galvin",2014-09-19,"Complaint"
"1284","7 ELEVEN #33726A","627 W JACKSON BLVD CHICAGO, IL 60661","2094402","Food","Nola Martin",2014-09-19,"Canvass"
"1285","BATTER & BERRIES LLC","2748 N LINCOLN AVE CHICAGO, IL 60614 ","2146584","Food","Rosarita Buco",2014-09-19,"Complaint"
"1286","STELLA'S DINER","3042 N BROADWAY CHICAGO, IL 60657","3769","Food","Kyle Kirkegaard",2014-09-19,"Canvass Re-Inspection"
"1287","Clemente Comm  (H/S)","1147 N WESTERN  AVE CHICAGO, IL 60622","CPS51091","Food","Patricia Coats",2014-09-19,"Canvass"
"1288","GIO'S","2724 S LOWE AVE CHICAGO, IL 60616","1330074","Food","Jacqueline Edwards",2014-09-19,"Canvass"
"1289","DUNKIN DONUTS BASKIN ROBBINS","2640 N NARRAGANSETT AVE BLDG D-9CHICAGO, IL 60639","1998116","Food","Henry Millan",2014-09-19,"Canvass"
"1290","DAWSON","730-736 W GRAND AVE CHICAGO, IL 60654 ","2246795","Food","Hilda Lainjo",2014-09-19,"Canvass"
"1291","WALLY'S INTERNATIONAL MARKET","3256 N MILWAUKEE AVE CHICAGO, IL 60618","32288","Food","Audrey Rambus",2014-09-19,"Canvass"
"1292","SALAAM RESTAURANT AND BAKERY","700-706 W 79TH ST CHICAGO, IL 60620","2141327","Food","Sandra Balfour",2014-09-19,"Canvass"
"1293","RACHEL'S LEARNING CENTER, LTD.","5242 W NORTH AVE CHICAGO, IL 60639","2215830","Food","Jewel Walker",2014-09-19,"License"
"1294","Dewey","5415 S UNION(700W) AVE CHICAGO, IL 60609","CPS22951","Food","Judith Mann-Hamdan",2014-09-19,"Canvass"
"1295","WILMER PALACIOS","2860 W MONTROSE AVE CHICAGO, IL 60618","2147685","Food","Audrey Rambus",2014-09-19,"Canvass"
"1296","CERMAK FRESH MARKET","3023-3041 S HALSTED ST CHICAGO, IL 60608","2093849","Food","Alejandro Delgado",2014-09-19,"Canvass"
"1297","ROCKY'S","234-236 W 31ST ST CHICAGO, IL 60616","1964780","Food","Molly Lynch",2014-09-19,"Canvass"
"1298","DUNKIN DONUTS","547 W JACKSON BLVD CHICAGO, IL 60661","1959403","Food","Nola Martin",2014-09-19,"Canvass"
"1299","Bennett","10115 S PRAIRIE  CHICAGO, IL 60628","CPS22241","Food","Sharon Lewis",2014-09-19,"Canvass"
"1300","MCDONALD'S","203 N LA SALLE ST CHICAGO, IL 60601","2328106","Food","Marwan Tamimi",2014-09-19,"License"
"1301","RAINFOREST LEARNING CENTER, INC","2545 W DIVERSEY AVE CHICAGO, IL 60647","2220945","Food","Joseph Jantke",2014-09-19,"License"
"1302","#1 CHOP SUEY","4307 W IRVING PARK RD CHICAGO, IL 60641","1970042","Food","Blesilda Guillen",2014-09-19,"Complaint"
"1303","PEET'S COFFEE & TEA","3025 N CLARK ST CHICAGO, IL 60657","2341234","Food","Kyle Kirkegaard",2014-09-19,"License"
"1304","Dewey CPC","638 W 54th Place (5432S) CHICAGO, IL 60609","CPS22952","Food","Judith Mann-Hamdan",2014-09-19,"Canvass"
"1305","McDonald's","201 N Clark ST BLDG CHICAGO, IL 60601","1985416","Food","Marwan Tamimi",2014-09-19,"Canvass"
"1306","HILARYS COOKIES","4917 N LINCOLN AVE CHICAGO, IL 60625 ","2042572","Food","Sonya Enoch",2014-09-19,"Canvass"
"1307","RAJ DARBAR","2660 N HALSTED ST CHICAGO, IL 60614","55355","Food","Rosarita Buco",2014-09-19,"Canvass"
"1308","DR. PEDRO ALBIZU CAMPUS","2739 W DIVISION CHICAGO, IL 60622 ","CPS2225441","Food","Patricia Coats",2014-09-19,"Canvass"
"1309","ARDEN RESTAURANT","6207 S KEDZIE AVE CHICAGO, IL 60629","21565","Food","Joyce Galvin",2014-09-19,"Canvass"
"1310","THREE R FOOD","2712-2714 W MONTROSE AVE CHICAGO, IL 60618","1943396","Food","Audrey Rambus",2014-09-19,"Complaint"
"1311","MRS FIELDS COOKIES","32 E RANDOLPH ST CHICAGO, IL 60601","2319805","Food","Marwan Tamimi",2014-09-19,"Canvass Re-Inspection"
"1312","RACHEL'S LEARNING CENTERS, LTD.","3430-3434 W ROOSEVELT RD CHICAGO, IL 60624","2215831","Food","Michelle Jackson",2014-09-19,"License"
"1313","V.C.C. Bakery LLC.","2835 N CENTRAL AVE CHICAGO, IL 60634","2358696","Food","Henry Millan",2014-09-19,"License"
"1314","CHARTWELLS","3241 S MICHIGAN AVE CHICAGO, IL 60616","1843822","Food","Jacqueline Edwards",2014-09-19,"Canvass"
"1315","PUCCI'S RESTAURANT & PIZZERIA","10063 S EWING AVE CHICAGO, IL 60617","22992","Food","Cecile Coffman",2014-09-19,"Canvass"
"1316","RICHARD'S BAR","491 N MILWAUKEE AVE CHICAGO, IL 60654","80209","Food","Hilda Lainjo",2014-09-19,"Short Form Complaint"
"1317","SHAW'S CRAB HOUSE","21 E HUBBARD ST CHICAGO, IL 60611","9278","Food","Michael Kurczewski",2014-09-19,"Suspected Food Poisoning"
"1318","WHALE FISH AND CHICKEN","5650 W DIVISION AVE CHICAGO, IL 60651 ","2087757","Food","Jewel Walker",2014-09-19,"Complaint"
"1319","PHILLY STEAKS","740 W GARFIELD BLVD CHICAGO, IL 60609","2299248","Food","Judith Mann-Hamdan",2014-09-19,"Short Form Complaint"
"1320","EDGEBROOK COFFEE SHOP","6322 N CENTRAL AVE CHICAGO, IL 60646","2252317","Food","Nilda Soto",2014-09-19,"Canvass"
"1321","MC DONALD'S","6900 N WESTERN AVE CHICAGO, IL 60645","35588","Food","Jesus Su",2014-09-19,"Canvass"
"1322","DUNKIN DONUTS & BASKIN ROBINS","3977 W COLUMBUS AVE CHICAGO, IL 60652","1446432","Food","Kimberly Franklin",2014-09-19,"Complaint"
"1323","EL SUPER TACO LOCO","2430 W 47TH ST CHICAGO, IL 60632","2314199","Food","Molly Lynch",2014-09-19,"Canvass"
"1324","STEVE'S LOUNGE","13200 S BALTIMORE AVE CHICAGO, IL 60633","833","Food","Sandra Balfour",2014-09-19,"Canvass Re-Inspection"
"1325","ELEA MEDITERRANEAN FOOD MARKET","309 S HALSTED ST CHICAGO, IL 60661 ","2099409","Food","Nola Martin",2014-09-19,"Canvass"
"1326","LA SABROSA RESTAURANT & PIZZERIA","2430 W 47TH ST CHICAGO, IL 60632 ","2350335","Food","Molly Lynch",2014-09-19,"License"
"1327","SUBWAY SANDWICH & SALAD","5324 N BROADWAY CHICAGO, IL 60640 ","1276237","Food","Frances Demma",2014-09-19,"Canvass"
"1328","Lockdown","1024 N WESTERN AVE CHICAGO, IL 60622 ","1965180","Food","Patricia Coats",2014-09-19,"Complaint Re-Inspection"
"1329","GRACIE'S CAFE","1517-1521  W WARREN BLVD CHICAGO, IL 60607 ","2283871","Food","Ronald Leveston",2014-09-19,"Canvass"
"1330","CONGRESS CORPORATION","2135 N MILWAUKEE AVE CHICAGO, IL 60647","24755","Food","Joseph Jantke",2014-09-19,"Canvass"
"1331","PEET'S COFFEE & TEA","21 E CHESTNUT ST CHICAGO, IL 60611","2341874","Food","Luella Owens",2014-09-19,"License"
"1332","FRANCISCO ESPINOZA","8827 S ESCANABA AVE CHICAGO, IL 60617","5490","Food","Sharon Lewis",2014-09-19,"Canvass"
"1333","LAO YOU JU CHINESE BAR AND RESTAURANT","2002 S WENTWORTH AVE CHICAGO, IL 60616","2195973","Food","Jacqueline Edwards",2014-09-19,"Complaint"
"1334","ANONG INC.","2532 N CALIFORNIA AVE CHICAGO, IL 60647","1942424","Food","Joseph Jantke",2014-09-19,"Complaint Re-Inspection"
"1335","CAPITAL ONE 360","21 E CHESTNUT ST CHICAGO, IL 60611","1841299","Food","Luella Owens",2014-09-19,"Canvass"
"1336","SMART LEARNING CENTER LLC","2839-2841 S ARCHER AVE CHICAGO, IL 60608 ","2231589","Food","Alejandro Delgado",2014-09-19,"Canvass"
"1337","LEONA'S RESTAURANT","3877 N ELSTON AVE CHICAGO, IL 60618","2313672","Food","Audrey Rambus",2014-09-19,"License Re-Inspection"
"1338","LA TROPICANA INC","5646 S KEDZIE AVE CHICAGO, IL 60629","66049","Food","Joyce Galvin",2014-09-19,"Canvass"
"1339","PATSY'S PLACE","2825 N LINCOLN AVE CHICAGO, IL 60657","1518594","Food","Kyle Kirkegaard",2014-09-19,"Canvass"
"1340","LEONA'S RESTAURANT","3877 N ELSTON AVE CHICAGO, IL 60618","2313673","Food","Audrey Rambus",2014-09-19,"License Re-Inspection"
"1341","LEONA'S RESTAURANT","3877 N ELSTON AVE CHICAGO, IL 60618","2313674","Food","Audrey Rambus",2014-09-19,"License Re-Inspection"
"1342","THE PHOENIX","5817 W DIVERSEY AVE CHICAGO, IL 60639 ","2099171","Food","Henry Millan",2014-09-19,"Canvass"
"1343","BLUE BIRD BOWL","3900 W COLUMBUS AVE CHICAGO, IL 60652","1403943","Food","Kimberly Franklin",2014-09-19,"Canvass"
"1344","NATIONAL HELLENIC MUSEUM","333-341 S HALSTED ST CHICAGO, IL 60661","2115137","Food","Nola Martin",2014-09-19,"Canvass"
"1345","ANTOJITOS MAJICOS","3540 W LAWRENCE AVE CHICAGO, IL 60625 ","2245426","Food","Sonya Enoch",2014-09-19,"Canvass"
"1346","SUBWAY 34028","742 W GARFIELD BLVD CHICAGO, IL 60609","2304675","Food","Judith Mann-Hamdan",2014-09-19,"Canvass"
"1347","4 HERMANOS TOO","6145 W TOUHY AVE CHICAGO, IL 60646","1887531","Food","Nilda Soto",2014-09-19,"Canvass"
"1348","GOLDEN APPLE CAFE & BAKERY","2409 S WENTWORTH AVE CHICAGO, IL 60616","2009150","Food","Elvia Martinez-Ceballos",2014-09-19,"Canvass"
"1349","DUNKIN DONUTS","1244 N ASHLAND AVE CHICAGO, IL 60622","32534","Food","Patricia Coats",2014-09-19,"Complaint Re-Inspection"
"1350","EL TARASCO","4358 W 51ST ST CHICAGO, IL 60632","2008409","Food","Molly Lynch",2014-09-19,"Complaint"
"1351","TUSCANY CAFE","11601 W TOUHY AVE CHICAGO, IL 60666","1916161","Food","Jay Khamphounvong",2014-09-19,"Canvass"
"1352","MAMA ANGIE PIZZA","5423 W BELMONT AVE CHICAGO, IL 60641","2355378","Food","Blesilda Guillen",2014-09-19,"License"
"1353","AMEERA FOOD","6415 N WESTERN AVE CHICAGO, IL 60645 ","2262476","Food","Jesus Su",2014-09-19,"Canvass"
"1354","JOE FISH","445 N DEARBORN ST CHICAGO, IL 60654","1542362","Food","Marwan Tamimi",2014-09-19,"Canvass"
"1355","PATIO RESTAURANT","1503 W TAYLOR ST CHICAGO, IL 60607","8042","Food","Annette Grimes",2014-09-19,"Complaint"
"1356","EACH 1 TEACH 1 LEARNING ACADEMY INC.","10926-28 S WESTERN AVE CHICAGO, IL 60643 ","2319753","Food","Sandra Balfour",2014-09-19,"License Re-Inspection"
"1357","WING HOE RESTAURANT","5356 N SHERIDAN RD CHICAGO, IL 60640","80273","Food","Frances Demma",2014-09-19,"Canvass Re-Inspection"
"1358","SEAFOOD JUNCTION","5300 W Madison ST CHICAGO, IL 60644","2320711","Food","Jewel Walker",2014-09-19,"Short Form Complaint"
"1359","WHITE CASTLE SYSTEM, INC.","3901 W MADISON ST CHICAGO, IL 60624","28489","Food","Michelle Jackson",2014-09-19,"Complaint"
"1360","JIE SUSHI AND TERIYAKI, INC.","2002 S WENTWORTH AVE CHICAGO, IL 60616","2358593","Food","Jacqueline Edwards",2014-09-19,"License"
"1361","VERNON PARK TAP","1073 W VERNON PARK PL CHICAGO, IL 60607","1145420","Food","Ronald Leveston",2014-09-19,"Canvass"
"1362","QUICK CONNECTION","11601 W TOUHY AVE CHICAGO, IL 60666","34223","Food","Jay Khamphounvong",2014-09-19,"Canvass"
"1363","ISABELLA'S BAKERY","1659 W FOSTER AVE CHICAGO, IL 60640","1645843","Food","Frances Demma",2014-09-19,"Canvass Re-Inspection"
"1364","THONG THAI RESTAURANT","6247 W TOUHY AVE CHICAGO, IL 60646","1143479","Food","Nilda Soto",2014-09-19,"Canvass"
"1365","LEMON GRASS RESTAURANT","1520 W TAYLOR ST CHICAGO, IL 60607","2092899","Food","Annette Grimes",2014-09-19,"Canvass"
"1366","TAQUERIA LOS PORTALES","1418 W MORSE AVE CHICAGO, IL 60626","2309128","Food","Jesus Su",2014-09-19,"Complaint"
"1367","HAROLD'S CHICKEN","1132 W WILSON AVE CHICAGO, IL 60640 ","2068831","Food","Frances Demma",2014-09-19,"Canvass"
"1368","CHILDREN'S ACADEMY OF NORTH SHORE, LTD.","6711 N SHERIDAN RD CHICAGO, IL 60626","2215553","Food","Jesus Su",2014-09-19,"License"
"1369","PACKING HOUSE","1113-1115 W RANDOLPH ST CHICAGO, IL 60607","1953491","Food","Anita Brazil",2014-09-19,"Canvass"
"1370","PAPA CHRIS PLACE INC","6235 W TOUHY AVE CHICAGO, IL 60646","10750","Food","Nilda Soto",2014-09-19,"Canvass"
"1371","JUPITER COFFEE","1139 W FULTON MARKET CHICAGO, IL 60607 ","1595894","Food","Ronald Leveston",2014-09-19,"Canvass"
"1372","THE SQUARED CIRCLE","2418 N ASHLAND AVE CHICAGO, IL 60614 ","2197078","Food","Rosarita Buco",2014-09-19,"Canvass"
"1373","SUSHI PINK","909 W WASHINGTON BLVD CHICAGO, IL 60607","1847340","Food","Annette Grimes",2014-09-19,"Canvass Re-Inspection"
"1374","TIK TOK FALAFEL","4600 N MAGNOLIA AVE CHICAGO, IL 60640","1120021","Food","Frances Demma",2014-09-19,"Canvass"
"1375","EVERGREEN RESTAURANT","2411 S WENTWORTH AVE CHICAGO, IL 60616","2185077","Food","Elvia Martinez-Ceballos",2014-09-19,"Canvass"
"1376","MINI PALAPITA","4968 N ELSTON AVE CHICAGO, IL 60630","2355257","Food","Jay Khamphounvong",2014-09-19,"License Re-Inspection"
"1377","La Taberna on Halsted","1301  S HALSTED ST CHICAGO, IL 60607 ","2043549","Food","Luella Owens",2014-09-19,"Canvass"
"1378","RODRIQUEZ GROCERY","3545 W PALMER ST CHICAGO, IL 60647","41207","Food","Joseph Jantke",2014-09-22,"Canvass"
"1379","TASTE FROM INDIA","209  E 31ST  ST CHICAGO, IL 60616 ","2278453","Food","Molly Lynch",2014-09-22,"Canvass"
"1380","Sherman","1000 W 52nd St (5200S) CHICAGO, IL 60609","CPS25341","Food","Judith Mann-Hamdan",2014-09-22,"Canvass"
"1381","DUSEKS","1223-1227 W 18TH ST CHICAGO, IL 60608","2262309","Food","Alejandro Delgado",2014-09-22,"Canvass Re-Inspection"
"1382","BRISA FOODS INC.","2156 N KIMBALL AVE CHICAGO, IL 60647","1477966","Food","Joseph Jantke",2014-09-22,"Canvass"
"1383","DUNKIN DONUTS/BASKIN ROBBINS","6100 S WESTERN AVE CHICAGO, IL 60636","1909373","Food","Joyce Galvin",2014-09-22,"Complaint Re-Inspection"
"1384","JOHN'S RESTAURANT","7660 S HALSTED ST CHICAGO, IL 60620","2358530","Food","Sandra Balfour",2014-09-22,"License"
"1385","OLIVER'S CAFE INC.","451 W 31ST ST CHICAGO, IL 60616","2183872","Food","Molly Lynch",2014-09-22,"Canvass"
"1386","ST. REST COUNTRY KITCHEN","727 E 87TH ST CHICAGO, IL 60619","2355187","Food","Sharon Lewis",2014-09-22,"License"
"1387","ROWE CHARTER ELEMENTARY","1424 N CLEAVER  ST CHICAGO, IL 60622","CPS24101","Food","Patricia Coats",2014-09-22,"Canvass"
"1388","PROTEIN BAR","222 W MERCHANDISE MART  PLZ CHICAGO, IL 60654 ","2252786","Food","Hilda Lainjo",2014-09-22,"Canvass Re-Inspection"
"1389","CHI CAFE, LLC","2160 S ARCHER AVE CHICAGO, IL 60616","1846828","Food","Jacqueline Edwards",2014-09-22,"Canvass Re-Inspection"
"1390","THE GODDESS LINCOLN PARK","2222 N ELSTON AVE CHICAGO, IL 60614","1953967","Food","Rosarita Buco",2014-09-22,"Canvass"
"1391","Peace & Ed. Coalition(SINCLAIR)","5114 S ELIZABETH (1232W) ST CHICAGO, IL 60609","CPS67021","Food","Judith Mann-Hamdan",2014-09-22,"Canvass"
"1392","XSPORT FITNESS","6420 W FULLERTON AVE CHICAGO, IL 60707","1194361","Food","Henry Millan",2014-09-22,"Canvass"
"1393","TAJ MAHAL","1512 W TAYLOR ST CHICAGO, IL 60607","2240843","Food","Anita Brazil",2014-09-22,"Canvass Re-Inspection"
"1394","DILLMAN'S DELICATESSEN","354 W HUBBARD ST CHICAGO, IL 60654","2240731","Food","Marwan Tamimi",2014-09-22,"Canvass"
"1395","SUBWAY SANDWICH SHOP","2477 S ARCHER AVE CHICAGO, IL 60616","2055445","Food","Molly Lynch",2014-09-22,"Canvass"
"1396","7-ELEVEN # 33723B","550 W WASHINGTON BLVD CHICAGO, IL 60661","2099109","Food","Nola Martin",2014-09-22,"Canvass"
"1397","LEGACY CAFE AND SUPPER CLUB","11901 S LOOMIS ST CHICAGO, IL 60643","2333429","Food","Sandra Balfour",2014-09-22,"License"
"1398","POTBELLY SANDWICH WORKS LLC","5700 S CICERO CHICAGO, IL 60638","1142125","Food","Kimberly Franklin",2014-09-22,"Canvass"
"1399","PARAD-ICE ON FULLERTON","3901 W FULLERTON AVE CHICAGO, IL 60647","2231680","Food","Joseph Jantke",2014-09-22,"Canvass"
"1400","MARIANO'S #8520","3145 S ASHLAND AVE CHICAGO, IL 60608","2309177","Food","Alejandro Delgado",2014-09-22,"Complaint"
"1401","JELLYBEAN LEARNING CENTER VI","7411 S COTTAGE GROVE AVE CHICAGO, IL 60619","2289932","Food","Sharon Lewis",2014-09-22,"License Re-Inspection"
"1402","SUMI","700-702 N WELLS ST CHICAGO, IL 60654 ","2152639","Food","Hilda Lainjo",2014-09-22,"Canvass"
"1403","PEPE'S # 2 FOOD & LIQUOR","2333 N WESTERN AVE CHICAGO, IL 60647","46863","Food","Joseph Jantke",2014-09-22,"Canvass"
"1404","Erie House","1405 N WASHTENAW AVE CHICAGO, IL 60622","CPS66331","Food","Patricia Coats",2014-09-22,"Canvass"
"1405","PEACE & ED COALITION  (BIG PICTURE)","4946 S PAULINA ST CHICAGO, IL 60609 ","CPS1982027","Food","Judith Mann-Hamdan",2014-09-22,"Canvass"
"1406","CARNICERIA LOS CUATES","4531-35 W MARQUETTE RD CHICAGO, IL 60629","2120731","Food","Joyce Galvin",2014-09-22,"Canvass"
"1407","7-ELEVEN #33508C","2181 N CLYBOURN AVE CHICAGO, IL 60614 ","2064170","Food","Rosarita Buco",2014-09-22,"Canvass Re-Inspection"
"1408","TOP CHOICE BBQ RESTAURANT","2017 S WELLS ST CHICAGO, IL 60616","2342064","Food","Jacqueline Edwards",2014-09-22,"License"
"1409","TORTOISE CLUB","350 N STATE ST CHICAGO, IL 60654","2121289","Food","Marwan Tamimi",2014-09-22,"Canvass"
"1410","JAMBA JUICE","500 W MADISON ST CHICAGO, IL 60661","2083866","Food","Nola Martin",2014-09-22,"Canvass"
"1411","FIFTH CAMPUS","1700 W 83RD ST CHICAGO, IL 60620 ","CPS2510248","Food","Sandra Balfour",2014-09-22,"Canvass"
"1412","CHEF LUCIANO","43 -51 E CERMAK RD CHICAGO, IL 60616","34857","Food","Molly Lynch",2014-09-22,"Canvass"
"1413","HAROLD'S  CHICKEN SHACK","2000 W 51ST ST CHICAGO, IL 60609","1473724","Food","Judith Mann-Hamdan",2014-09-22,"Short Form Complaint"
